--------- beginning of main
07-16 21:40:55.984  7476  7476 W zygote  : Unexpected CPU variant for X86 using defaults: x86
07-16 21:40:56.405  7476  7476 D WM-WrkMgrInitializer: Initializing WorkManager with default configuration.
07-16 21:40:56.580  7476  7476 D WM-PackageManagerHelper: Skipping component enablement for androidx.work.impl.background.systemjob.SystemJobService
07-16 21:40:56.580  7476  7476 D WM-Schedulers: Created SystemJobScheduler and enabled SystemJobService
07-16 21:40:56.797  7476  7491 D WM-ForceStopRunnable: The default process name was not specified.
07-16 21:40:56.812  7476  7491 D WM-ForceStopRunnable: Performing cleanup operations.
07-16 21:40:56.929  7476  7491 D WM-SystemJobScheduler: Reconciling jobs
07-16 21:40:57.193  7476  7491 D WM-ForceStopRunnable: Application was force-stopped, rescheduling.
07-16 21:40:57.342  7476  7491 D WM-SystemJobScheduler: Scheduling work ID 90bf00d6-4b8f-4159-9503-973d652bbe45Job ID 404
07-16 21:40:57.391  7476  7491 D WM-SystemJobScheduler: Scheduling work ID 314dec9a-586d-49d5-90b8-fdcd35e94b4fJob ID 398
07-16 21:40:57.413  7476  7491 D WM-SystemJobScheduler: Scheduling work ID 0084af10-5a52-446b-b6b0-120f0ea7d1a5Job ID 405
07-16 21:40:57.762  7476  7476 I SVStartup: onCreate: MainActivity launcher with system splash theme
07-16 21:40:57.778  7476  7491 D WM-PackageManagerHelper: Skipping component enablement for androidx.work.impl.background.systemalarm.RescheduleReceiver
07-16 21:40:57.789  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 15444(1852KB) AllocSpace objects, 0(0B) LOS objects, 53% free, 1340KB/2MB, paused 14.633ms total 105.481ms
07-16 21:40:57.803  7476  7494 D OpenGLRenderer: HWUI GL Pipeline
07-16 21:40:57.814  7476  7476 I Choreographer: Skipped 84 frames!  The application may be doing too much work on its main thread.
07-16 21:40:58.195  7476  7487 I zygote  : Background concurrent copying GC freed 8531(1316KB) AllocSpace objects, 0(0B) LOS objects, 50% free, 2MB/5MB, paused 1.339ms total 206.038ms
07-16 21:40:59.377  7476  7494 D         : HostConnection::get() New Host Connection established 0xe00071c0, tid 7494
07-16 21:40:59.461  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 20915(3MB) AllocSpace objects, 0(0B) LOS objects, 50% free, 1864KB/3MB, paused 1.216ms total 309.158ms
07-16 21:40:59.505  7476  7494 I zygote  : android::hardware::configstore::V1_0::ISurfaceFlingerConfigs::hasWideColorDisplay retrieved: 0
07-16 21:40:59.506  7476  7494 I OpenGLRenderer: Initialized EGL, version 1.4
07-16 21:40:59.506  7476  7494 D OpenGLRenderer: Swap behavior 1
07-16 21:40:59.518  7476  7494 D EGL_emulation: eglCreateContext: 0xe1a05a20: maj 2 min 0 rcv 2
07-16 21:40:59.523  7476  7494 D EGL_emulation: eglMakeCurrent: 0xe1a05a20: ver 2 0 (tinfo 0xe1a03ef0)
07-16 21:40:59.586  7476  7476 I Choreographer: Skipped 104 frames!  The application may be doing too much work on its main thread.
07-16 21:40:59.599  7476  7494 D EGL_emulation: eglMakeCurrent: 0xe1a05a20: ver 2 0 (tinfo 0xe1a03ef0)
07-16 21:41:00.483  7476  7476 I Choreographer: Skipped 53 frames!  The application may be doing too much work on its main thread.
07-16 21:41:01.145  7476  7498 D NetworkSecurityConfig: Using Network Security Config from resource network_security_config debugBuild: false
07-16 21:41:01.545  7476  7511 I zygote  : Rejecting re-init on previously-failed class java.lang.Class<kotlinx.coroutines.internal.ClassValueCtorCache$cache$1>: java.lang.NoClassDefFoundError: Failed resolution of: Ljava/lang/ClassValue;
07-16 21:41:01.563  7476  7511 I zygote  :   at boolean okio.NioSystemFileSystem$$ExternalSyntheticApiModelOutline0.m(java.lang.reflect.Method) (D8$$SyntheticClass:0)
07-16 21:41:01.563  7476  7511 I zygote  :   at boolean retrofit2.Reflection$Android24.isDefaultMethod(java.lang.reflect.Method) (Reflection.java:76)
07-16 21:41:01.563  7476  7511 I zygote  :   at java.lang.Object retrofit2.Retrofit$1.invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[]) (Retrofit.java:175)
07-16 21:41:01.563  7476  7511 I zygote  :   at java.lang.Object java.lang.reflect.Proxy.invoke(java.lang.reflect.Proxy, java.lang.reflect.Method, java.lang.Object[]) (Proxy.java:913)
07-16 21:41:01.563  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyApiService.storeEvent(com.smartvision.svplayer.data.anomaly.AnomalyEventRequest, kotlin.coroutines.Continuation) ((null):-1)
07-16 21:41:01.563  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:229)
07-16 21:41:01.563  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(kotlinx.coroutines.CoroutineScope, kotlin.coroutines.Continuation) (AnomalyReporter.kt:-1)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(java.lang.Object, java.lang.Object) (AnomalyReporter.kt:-1)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndspatched(kotlinx.coroutines.internal.ScopeCoroutine, boolean, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:66)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndispatchedOrReturn(kotlinx.coroutines.internal.ScopeCoroutine, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:43)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt__Builders_commonKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) (Builders.common.kt:165)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) ((null):1)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.flushPending(kotlin.coroutines.Continuation) (AnomalyReporter.kt:215)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.access$flushPending(com.smartvision.svplayer.data.anomaly.AnomalyReporter, kotlin.coroutines.Continuation) (AnomalyReporter.kt:50)
07-16 21:41:01.564  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPendingAsync$1.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:135)
07-16 21:41:01.564  7476  7511 I zygote  :   at void kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(java.lang.Object) (ContinuationImpl.kt:33)
07-16 21:41:01.564  7476  7511 I zygote  :   at void kotlinx.coroutines.DispatchedTask.run() (DispatchedTask.kt:100)
07-16 21:41:01.564  7476  7511 I zygote  :   at void kotlinx.coroutines.internal.LimitedDispatcher$Worker.run() (LimitedDispatcher.kt:124)
07-16 21:41:01.564  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.TaskImpl.run() (Tasks.kt:89)
07-16 21:41:01.564  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler.runSafely(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:586)
07-16 21:41:01.564  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.executeTask(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:820)
07-16 21:41:01.564  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.runWorker() (CoroutineScheduler.kt:717)
07-16 21:41:01.565  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run() (CoroutineScheduler.kt:704)
07-16 21:41:01.565  7476  7511 I zygote  : Caused by: java.lang.ClassNotFoundException: Didn't find class "java.lang.ClassValue" on path: DexPathList[[zip file "/data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/base.apk"],nativeLibraryDirectories=[/data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/lib/x86, /data/app/com.smartvision.svplayer-gmhK3zbuBl-XySW-2TwxNQ==/base.apk!/lib/x86, /system/lib, /vendor/lib]]
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Class dalvik.system.BaseDexClassLoader.findClass(java.lang.String) (BaseDexClassLoader.java:125)
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String, boolean) (ClassLoader.java:379)
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Class java.lang.ClassLoader.loadClass(java.lang.String) (ClassLoader.java:312)
07-16 21:41:01.565  7476  7511 I zygote  :   at boolean okio.NioSystemFileSystem$$ExternalSyntheticApiModelOutline0.m(java.lang.reflect.Method) (D8$$SyntheticClass:0)
07-16 21:41:01.565  7476  7511 I zygote  :   at boolean retrofit2.Reflection$Android24.isDefaultMethod(java.lang.reflect.Method) (Reflection.java:76)
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Object retrofit2.Retrofit$1.invoke(java.lang.Object, java.lang.reflect.Method, java.lang.Object[]) (Retrofit.java:175)
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Object java.lang.reflect.Proxy.invoke(java.lang.reflect.Proxy, java.lang.reflect.Method, java.lang.Object[]) (Proxy.java:913)
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyApiService.storeEvent(com.smartvision.svplayer.data.anomaly.AnomalyEventRequest, kotlin.coroutines.Continuation) ((null):-1)
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:229)
07-16 21:41:01.565  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(kotlinx.coroutines.CoroutineScope, kotlin.coroutines.Continuation) (AnomalyReporter.kt:-1)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPending$2.invoke(java.lang.Object, java.lang.Object) (AnomalyReporter.kt:-1)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndspatched(kotlinx.coroutines.internal.ScopeCoroutine, boolean, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:66)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.intrinsics.UndispatchedKt.startUndispatchedOrReturn(kotlinx.coroutines.internal.ScopeCoroutine, java.lang.Object, kotlin.jvm.functions.Function2) (Undispatched.kt:43)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt__Builders_commonKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) (Builders.common.kt:165)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object kotlinx.coroutines.BuildersKt.withContext(kotlin.coroutines.CoroutineContext, kotlin.jvm.functions.Function2, kotlin.coroutines.Continuation) ((null):1)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.flushPending(kotlin.coroutines.Continuation) (AnomalyReporter.kt:215)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter.access$flushPending(com.smartvision.svplayer.data.anomaly.AnomalyReporter, kotlin.coroutines.Continuation) (AnomalyReporter.kt:50)
07-16 21:41:01.566  7476  7511 I zygote  :   at java.lang.Object com.smartvision.svplayer.data.anomaly.AnomalyReporter$flushPendingAsync$1.invokeSuspend(java.lang.Object) (AnomalyReporter.kt:135)
07-16 21:41:01.566  7476  7511 I zygote  :   at void kotlin.coroutines.jvm.internal.BaseContinuationImpl.resumeWith(java.lang.Object) (ContinuationImpl.kt:33)
07-16 21:41:01.567  7476  7511 I zygote  :   at void kotlinx.coroutines.DispatchedTask.run() (DispatchedTask.kt:100)
07-16 21:41:01.567  7476  7511 I zygote  :   at void kotlinx.coroutines.internal.LimitedDispatcher$Worker.run() (LimitedDispatcher.kt:124)
07-16 21:41:01.567  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.TaskImpl.run() (Tasks.kt:89)
07-16 21:41:01.567  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler.runSafely(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:586)
07-16 21:41:01.567  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.executeTask(kotlinx.coroutines.scheduling.Task) (CoroutineScheduler.kt:820)
07-16 21:41:01.567  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.runWorker() (CoroutineScheduler.kt:717)
07-16 21:41:01.590  7476  7511 I zygote  :   at void kotlinx.coroutines.scheduling.CoroutineScheduler$Worker.run() (CoroutineScheduler.kt:704)
07-16 21:41:01.590  7476  7511 I zygote  : 
07-16 21:41:01.597  7476  7481 I zygote  : Do partial code cache collection, code=30KB, data=26KB
07-16 21:41:01.601  7476  7481 I zygote  : After code cache collection, code=30KB, data=26KB
07-16 21:41:01.601  7476  7481 I zygote  : Increasing code cache capacity to 128KB
07-16 21:41:01.610  7476  7493 D WM-GreedyScheduler: Cancelling work ID 90bf00d6-4b8f-4159-9503-973d652bbe45
07-16 21:41:01.652  7476  7510 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-6 (7511) at boolean okio.NioSystemFileSystem$$ExternalSyntheticApiModelOutline0.m(java.lang.reflect.Method)(D8$$SyntheticClass:0) waiters=1 in boolean okio.NioSystemFileSystem$$ExternalSyntheticApiModelOutline0.m(java.lang.reflect.Method) for 123ms
07-16 21:41:01.653  7476  7498 I zygote  : Deoptimizing java.lang.Object j$.util.concurrent.ConcurrentHashMap.putVal(java.lang.Object, java.lang.Object, boolean) due to JIT inline cache
07-16 21:41:01.748  7476  7493 D WM-SystemJobScheduler: Scheduling work ID 90bf00d6-4b8f-4159-9503-973d652bbe45Job ID 406
07-16 21:41:01.773  7476  7476 I Choreographer: Skipped 39 frames!  The application may be doing too much work on its main thread.
07-16 21:41:01.802  7476  7476 I zygote  : Deoptimizing boolean androidx.collection.ScatterSet.contains(java.lang.Object) due to JIT inline cache
07-16 21:41:01.923  7476  7476 I SVStartup: startup stage: Initializing
07-16 21:41:01.924  7476  7476 I SVStartup: startup stage: CheckingActivation
07-16 21:41:01.929  7476  7476 I SVStartup: startup stage: PreparingHome
07-16 21:41:01.939  7476  7476 I SVStartup: startup stage: Starting
07-16 21:41:01.954  7476  7476 I SVStartup: startup complete: rendering AppNavigation
07-16 21:41:02.079  7476  7491 D WM-GreedyScheduler: Cancelling work ID 0084af10-5a52-446b-b6b0-120f0ea7d1a5
07-16 21:41:02.210  7476  7476 I zygote  : Deoptimizing java.lang.Object androidx.compose.runtime.snapshots.Snapshot$Companion.observe(kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function1, kotlin.jvm.functions.Function0) due to JIT inline cache
07-16 21:41:02.365  7476  7491 D WM-SystemJobScheduler: Scheduling work ID 0084af10-5a52-446b-b6b0-120f0ea7d1a5Job ID 407
07-16 21:41:02.694  7476  7487 I zygote  : Background concurrent copying GC freed 16323(1309KB) AllocSpace objects, 15(300KB) LOS objects, 50% free, 4MB/8MB, paused 8.002ms total 1.288s
07-16 21:41:03.028  7476  7518 W zygote  : Long monitor contention with owner OkHttp smartvisions.net (7519) at void okhttp3.internal.concurrent.TaskRunner$runnable$1.run()(TaskRunner.kt:58) waiters=2 in void okhttp3.internal.concurrent.TaskRunner$runnable$1.run() for 181ms
07-16 21:41:03.029  7476  7519 W zygote  : Long monitor contention with owner OkHttp smartvisions.net (7520) at void okhttp3.internal.concurrent.TaskQueue.schedule(okhttp3.internal.concurrent.Task, long)(TaskQueue.kt:62) waiters=2 in void okhttp3.internal.concurrent.TaskQueue.shutdown() for 176ms
07-16 21:41:03.030  7476  7523 W zygote  : Long monitor contention with owner OkHttp smartvisions.net (7520) at void okhttp3.internal.concurrent.TaskQueue.schedule(okhttp3.internal.concurrent.Task, long)(TaskQueue.kt:62) waiters=3 in void okhttp3.internal.concurrent.TaskRunner$runnable$1.run() for 165ms
07-16 21:41:03.220  7476  7476 I zygote  : Deoptimizing void androidx.compose.runtime.ComposerImpl.end(boolean) due to JIT inline cache
07-16 21:41:03.370  7476  7481 I zygote  : Do partial code cache collection, code=43KB, data=62KB
07-16 21:41:03.373  7476  7481 I zygote  : After code cache collection, code=28KB, data=55KB
07-16 21:41:03.373  7476  7481 I zygote  : Increasing code cache capacity to 256KB
07-16 21:41:03.827  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 48178(2MB) AllocSpace objects, 0(0B) LOS objects, 49% free, 3MB/7MB, paused 2.004ms total 803.021ms
07-16 21:41:03.863  7476  7476 I SVStartup: state localReady=true checking=false activated=true playableSource=true route=home
07-16 21:41:03.925  7476  7476 I Choreographer: Skipped 104 frames!  The application may be doing too much work on its main thread.
07-16 21:41:04.037  7476  7498 W SmartVisionAnomaly: Anomalies en attente: 6
07-16 21:41:04.049  7476  7532 D ProfileInstaller: Skipping profile installation for com.smartvision.svplayer
07-16 21:41:04.448  7476  7481 I zygote  : Do full code cache collection, code=115KB, data=124KB
07-16 21:41:04.449  7476  7481 I zygote  : After code cache collection, code=113KB, data=59KB
07-16 21:41:05.885  7476  7476 I Choreographer: Skipped 112 frames!  The application may be doing too much work on its main thread.
07-16 21:41:06.066  7476  7481 I zygote  : Do partial code cache collection, code=124KB, data=86KB
07-16 21:41:06.102  7476  7476 I SmartVisionAds: Passage en FREE_WITH_ADS
07-16 21:41:06.103  7476  7476 I SmartVisionAds: Statut monetisation actuel: FREE_WITH_ADS
07-16 21:41:06.201  7476  7481 I zygote  : After code cache collection, code=123KB, data=120KB
07-16 21:41:06.201  7476  7481 I zygote  : Increasing code cache capacity to 512KB
07-16 21:41:06.823  7476  7476 I Choreographer: Skipped 31 frames!  The application may be doing too much work on its main thread.
07-16 21:41:07.318  7476  7481 I zygote  : JIT allocated 80KB for stack maps of void com.smartvision.svplayer.ui.navigation.AppNavigationKt.AppNavigation(androidx.navigation.NavHostController, androidx.compose.runtime.Composer, int, int)
07-16 21:41:07.322  7476  7481 I zygote  : Compiler allocated 14MB to compile void com.smartvision.svplayer.ui.navigation.AppNavigationKt.AppNavigation(androidx.navigation.NavHostController, androidx.compose.runtime.Composer, int, int)
07-16 21:41:07.385  7476  7481 I zygote  : Do full code cache collection, code=208KB, data=234KB
07-16 21:41:07.386  7476  7481 I zygote  : After code cache collection, code=178KB, data=168KB
07-16 21:41:33.963  7476  7476 I zygote  : Deoptimizing kotlinx.coroutines.internal.LockFreeLinkedListNode kotlinx.coroutines.internal.LockFreeLinkedListNode.correctPrev() due to JIT inline cache
07-16 21:41:34.192  7476  7476 I zygote  : Deoptimizing void androidx.compose.runtime.ComposerImpl.start-BaiHCIY(int, java.lang.Object, int, java.lang.Object) due to JIT inline cache
07-16 21:41:34.544  7476  7476 I zygote  : Deoptimizing androidx.compose.runtime.snapshots.StateRecord androidx.compose.runtime.snapshots.SnapshotKt.readable(androidx.compose.runtime.snapshots.StateRecord, androidx.compose.runtime.snapshots.StateObject) due to JIT inline cache
07-16 21:41:34.592  7476  7481 I zygote  : Do partial code cache collection, code=229KB, data=252KB
07-16 21:41:34.646  7476  7481 I zygote  : After code cache collection, code=217KB, data=247KB
07-16 21:41:34.647  7476  7481 I zygote  : Increasing code cache capacity to 1024KB
07-16 21:41:34.662  7476  7487 I zygote  : Background concurrent copying GC freed 38187(2MB) AllocSpace objects, 16(680KB) LOS objects, 49% free, 3MB/7MB, paused 1.573ms total 299.480ms
07-16 21:41:35.433  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 5936(319KB) AllocSpace objects, 0(0B) LOS objects, 49% free, 3MB/7MB, paused 3.922ms total 554.624ms
07-16 21:41:35.936  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 139(46KB) AllocSpace objects, 0(0B) LOS objects, 49% free, 4MB/8MB, paused 1.937ms total 369.667ms
07-16 21:41:36.506  7476  7493 D WM-GreedyScheduler: Cancelling work ID 90bf00d6-4b8f-4159-9503-973d652bbe45
07-16 21:41:36.574  7476  7493 D WM-SystemJobScheduler: Scheduling work ID 90bf00d6-4b8f-4159-9503-973d652bbe45Job ID 408
07-16 21:41:36.614  7476  7493 D WM-GreedyScheduler: Cancelling work ID 314dec9a-586d-49d5-90b8-fdcd35e94b4f
07-16 21:41:36.919  7476  7476 I Choreographer: Skipped 171 frames!  The application may be doing too much work on its main thread.
07-16 21:41:36.933  7476  7493 D WM-SystemJobScheduler: Scheduling work ID 314dec9a-586d-49d5-90b8-fdcd35e94b4fJob ID 409
07-16 21:41:36.944  7476  7476 I zygote  : Deoptimizing int androidx.compose.runtime.ComposerImpl.groupCompoundKeyPart(androidx.compose.runtime.SlotReader, int) due to JIT inline cache
07-16 21:41:37.735  7476  7476 I Choreographer: Skipped 48 frames!  The application may be doing too much work on its main thread.
07-16 21:41:43.711  7476  7487 I zygote  : NativeAlloc concurrent copying GC freed 82653(3MB) AllocSpace objects, 2(68KB) LOS objects, 49% free, 5MB/11MB, paused 4.391ms total 1.771s
07-16 21:41:44.333  7476  7476 I Choreographer: Skipped 206 frames!  The application may be doing too much work on its main thread.
07-16 21:41:44.785  7476  7476 V MediaPlayer: resetDrmState:  mDrmInfo=null mDrmProvisioningThread=null mPrepareDrmInProgress=false mActiveDrmScheme=false
07-16 21:41:44.785  7476  7476 V MediaPlayer: cleanDrmObj: mDrmObj=null mDrmSessionId=null
07-16 21:41:45.025  7476  7476 I zygote  : Deoptimizing void androidx.compose.runtime.ComposerImpl.end(boolean) due to JIT inline cache
07-16 21:41:48.563  7476  7476 I Choreographer: Skipped 45 frames!  The application may be doing too much work on its main thread.
07-16 21:41:50.102  7476  7481 I zygote  : Do full code cache collection, code=331KB, data=502KB
07-16 21:41:50.139  7476  7481 I zygote  : After code cache collection, code=300KB, data=241KB
07-16 21:41:50.475  7476  7487 I zygote  : Background concurrent copying GC freed 111380(4MB) AllocSpace objects, 1(24KB) LOS objects, 45% free, 7MB/13MB, paused 3.195ms total 426.271ms
07-16 21:41:55.195  7476  7476 I Choreographer: Skipped 55 frames!  The application may be doing too much work on its main thread.
07-16 21:41:56.308  7476  7476 I Choreographer: Skipped 35 frames!  The application may be doing too much work on its main thread.
07-16 21:41:56.348  7476  7510 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=0 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 13.778s
07-16 21:41:56.353  7476  7497 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=1 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 13.595s
07-16 21:41:56.398  7476  7509 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=2 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 13.420s
07-16 21:41:56.402  7476  7498 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=3 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 13.073s
07-16 21:41:56.407  7476  7511 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=4 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 13.001s
07-16 21:41:56.418  7476  7606 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=5 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 12.957s
07-16 21:41:56.420  7476  7605 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=6 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 12.743s
07-16 21:41:56.433  7476  7608 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=7 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 12.710s
07-16 21:41:56.440  7476  7619 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=12 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 8.296s
07-16 21:41:56.441  7476  7607 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=8 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 12.670s
07-16 21:41:56.442  7476  7610 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=9 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 12.591s
07-16 21:41:56.464  7476  7609 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=10 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 12.536s
07-16 21:41:56.464  7476  7611 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=11 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 12.478s
07-16 21:41:56.465  7476  7616 W zygote  : Long monitor contention with owner DefaultDispatcher-worker-3 (7508) at void kotlin.jvm.internal.Intrinsics.checkNotNullParameter(java.lang.Object, java.lang.String)(Intrinsics.java:-1) waiters=13 in coil.disk.DiskLruCache$Snapshot coil.disk.DiskLruCache.get(java.lang.String) for 8.253s
